服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PRV-RMBTS-I-0046	公共服务体系	统计分析	基础统计数据	交易笔数统计	本币标准债券远期日终交易笔数反馈（核对结果）	单向：Out-Only	私有服务	PRV-RMBTS-I-0045	标准债券远期集中净额清算业务-当日交易总笔数核对结果	RMBTS-SHCH-30	确定合并，上清所发送给本币的标准利率互换、标准债券远期日终交易笔数反馈服务合并			49.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0045	公共服务体系	统计分析	基础统计数据	交易笔数统计	本币标准债券远期日终交易笔数	单向：Out-Only	私有服务	PRV-RMBTS-I-0046	标准债券远期集中净额清算业务-当日交易总笔数	RMBTS-SHCH-29	确定合并，本币发送给上清所的标准利率互换、标准债券远期日终交易笔数服务合并			49.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0037	公共服务体系	统计分析	基础统计数据	闭市统计	本币利率互换闭市统计	双向：Out-In	私有服务	PRV-SHCH-I-0019	IRS净额清算-日终交易中心闭市状态	RMBTS-SHCH-21-1	/			50.0	IMIX	本币交易系统	上海清算所
PRV-SHCH-I-0019	公共服务体系	统计分析	基础统计数据	闭市统计	本币利率互换闭市统计反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0037	IRS净额清算-闭市反馈	RMBTS-SHCH-21-2	/			50.0	IMIX	上海清算所	本币交易系统
PUB-RMBTS-I-0163	公共服务体系	统计分析	基础统计数据	闭市统计	本币预收盘	单向：Out-Only	公有服务		预收盘	RMBTS-PTPS-10	/			/	IMIX	本币交易系统	交易后处理系统
PRV-PTPS-I-0011	公共服务体系	统计分析	基础统计数据	闭市统计	闭市统计	双向：Out-In	私有服务	PRV-SHCH-I-0065	闭市统计-交易后	PTPS-IHUb-SHCH-5	/			51.0	IMIX	交易后处理系统	上海清算所
PRV-SHCH-I-0065	公共服务体系	统计分析	基础统计数据	闭市统计	闭市统计反馈	单向：Out-Only	私有服务	PRV-PTPS-I-0011	交易后系统闭市反馈	SHCH-Ihub-PTPS-5	/			51.0	IMIX	上海清算所	交易后处理系统
PUB-FXTS-I-0022	公共服务体系	统计分析	基础统计数据	闭市统计	外汇闭市统计	单向：Out-Only	公有服务		日终交易系统闭市状态信息	FXTS-SHCH-5	/			/	IMIX	外汇交易系统	上海清算所
PRV-FXTS-I-0023	公共服务体系	统计分析	基础统计数据	交易笔数统计	外汇交易笔数和累计交易金额	双向：Out-In	私有服务	PRV-SHCH-I-0051	日终发送汇总交易笔数和累计交易金额	FXTS-SHCH-3	/			52.0	IMIX	外汇交易系统	上海清算所
PRV-SHCH-I-0051	公共服务体系	统计分析	基础统计数据	交易笔数统计	外汇交易笔数和累计交易金额反馈	单向：Out-Only	私有服务	PRV-FXTS-I-0023	日终发送汇总交易笔数和累计交易金额核对结果	FXTS-SHCH-3-R	/			52.0	IMIX	上海清算所	外汇交易系统
