服务编号	所属服务体系	所属主题域	所属数据实体	所属数据实体类型	服务名称	MEP(消息交换模式)	公有/私有	对方接口编号	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	服务用途（用原“私有服务同一业务双向交互编号”或“对方接口编号”预留字段展示）	数据交换模式	服务发布者	服务订阅者
PUB-RMBTS-0207	公共服务体系	产品数据	产品基础信息	/	交易工具信息--基本信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_BASE_DTLS(删除两个重复19:30:27)	/	确定合并，编号E7-5	 19:30:27	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-RMBTS-0207	公共服务体系	产品数据	产品基础信息	/	交易工具信息--基本信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_BASE_DTLS\TRDX_ASSET_BASE_DTLS1(删除一个重复17:30:12)	/	确定合并，编号E7-5	 17:30:12	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-RMBTS-0111	公共服务体系	产品数据	产品基础信息	/	交易工具信息--基本信息--流水	单向：OUT-Only	公有服务	/	TRDX_ASSET_BASE_DTLS_CHILD(仅21:00:30)\TRDX_ASSET_BASE_DTLS_CHILD1(仅9:21:09)	/	25.0	 9:21:09\ 21:00:30	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0099	公共服务体系	产品数据	产品基础信息	/	交易工具信息--评级信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_CREDIT_RTNG_DTLS(删除两个重复17:30:19)	/	确定合并，编号E14-2	 17:30:19	定时－指定时点		ETL	本币交易系统	本币市场监测系统
PUB-RMBTS-0099	公共服务体系	产品数据	产品基础信息	/	交易工具信息--评级信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_CREDIT_RTNG_DTLS(删除一个重复19:29:39)	/	确定合并，编号E14-2	 19:29:39\ 22:00:17	定时－指定时点		ETL	本币交易系统	计费管理系统
PUB-RMBTS-0142	公共服务体系	产品数据	产品基础信息	/	交易工具信息--息票信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DTLS	/	确定合并，编号E4-6	 21:00:30	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0142	公共服务体系	产品数据	产品基础信息	/	交易工具信息--息票信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DTLS1	/	确定合并，编号E4-6	 19:29:39	定时－指定时点		ETL	本币交易系统	计费管理系统
PUB-RMBTS-0142	公共服务体系	产品数据	产品基础信息	/	交易工具信息--息票信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DTLS	/	确定合并，编号E4-6	 12:10:17	定时－指定时点		ETL	本币交易系统	交易后处理系统
PUB-RMBTS-0142	公共服务体系	产品数据	产品基础信息	/	交易工具信息--息票信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DTLS	/	确定合并，编号E4-6	 12:00:22	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-RMBTS-0142	公共服务体系	产品数据	产品基础信息	/	交易工具信息--息票信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DTLS\TRDX_ASSET_COUPON_DTLS1	/	确定合并，编号E4-6	 0:00:34	定时－指定时点		ETL	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-0142	公共服务体系	产品数据	产品基础信息	/	交易工具信息--息票信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DTLS\TRDX_ASSET_COUPON_DTLS1(删除一个重复8:21:46)	/	确定合并，编号E4-6	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-RMBTS-0184	公共服务体系	产品数据	产品基础信息	/	交易品种	单向：OUT-Only	公有服务	/	TRDX_TRDNG_PRDCT_MASTER(删除一个重复12:00:22)	/	26.0	 12:00:22	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-BMS-0021	公共服务体系	产品数据	产品基础信息	/	类型参考	单向：OUT-Only	公有服务	/	T_REFERENCE	/	确定合并，编号E87-2	 18:00:25	定时－指定时点		ETL	市场基准参考系统	本币交易系统
